Student ID,Age,Gender,Question ID,Topic,Difficulty Level,Question Text,Correct Answer,Response,Correct,Response Time (s),Confidence Level,Total Questions Answered,Accuracy (%),Average Response Time (s),Knowledge Gaps,Next Question Difficulty,Suggested Study Topics,Personalized Study Plan
1001,18,Female,Q93,Science,Hard,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,21,1,9,81,10,Biology,Hard,Biology,Focus on practice questions
1002,18,Male,Q86,History,Medium,Who was the first President of the United States?,George Washington,George Washington,1,13,1,16,73,11,Science,Medium,Chemistry,Review fundamental principles
1003,15,Female,Q77,History,Hard,Who was the first President of the United States?,George Washington,George Washington,1,19,1,5,89,10,Literature,Easy,Physics,Focus on practice questions
1004,18,Female,Q31,Geography,Easy,What is the capital of France?,Paris,Paris,1,22,1,24,73,14,Algebra,Hard,Chemistry,Review fundamental principles
1005,16,Male,Q38,General Knowledge,Hard,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,10,2,12,82,9,History,Medium,Algebra,Understand mathematical formulas
1006,15,Male,Q6,History,Medium,Who was the first President of the United States?,George Washington,George Washington,1,29,2,13,77,20,History,Easy,Biology,Review fundamental principles
1007,15,Female,Q33,Geography,Medium,What is the capital of France?,Paris,Paris,1,13,1,24,95,20,Science,Medium,History,Study major scientific concepts
1008,17,Male,Q57,Geography,Hard,What is the capital of France?,Paris,Paris,1,12,3,20,80,12,Algebra,Medium,Physics,Focus on practice questions
1009,15,Male,Q39,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,16,1,24,82,15,Biology,Hard,History,Understand mathematical formulas
1010,16,Male,Q86,History,Hard,Who was the first President of the United States?,George Washington,George Washington,1,24,3,23,81,19,Literature,Medium,Math,Study major scientific concepts
1011,16,Female,Q9,Geography,Medium,What is the capital of France?,Paris,Incorrect,0,9,4,11,88,9,Literature,Medium,Biology,Understand mathematical formulas
1012,17,Male,Q71,Geography,Medium,What is the capital of France?,Paris,Paris,1,8,3,23,93,9,Geography,Hard,Algebra,Focus on practice questions
1013,15,Male,Q72,General Knowledge,Easy,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,27,1,17,87,18,Algebra,Easy,Algebra,Learn about historical events
1014,16,Male,Q13,Literature,Hard,Who wrote 'Romeo and Juliet'?,William Shakespeare,Incorrect,0,21,3,10,87,15,Geography,Medium,Chemistry,Focus on practice questions
1015,17,Female,Q47,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,17,3,24,75,14,Science,Easy,Algebra,Understand mathematical formulas
1016,18,Female,Q39,Literature,Medium,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,5,1,25,83,12,History,Hard,Physics,Study major scientific concepts
1017,17,Female,Q76,Technology,Medium,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,12,1,24,93,15,Biology,Easy,Math,Study major scientific concepts
1018,18,Male,Q71,Technology,Hard,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,26,5,25,95,9,Science,Easy,Literature,Review fundamental principles
1019,18,Male,Q13,General Knowledge,Easy,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,13,3,20,83,11,Geography,Medium,Science,Focus on practice questions
1020,17,Female,Q68,Literature,Hard,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,23,5,22,88,15,Chemistry,Medium,Algebra,Understand mathematical formulas
1021,15,Male,Q13,General Knowledge,Easy,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,25,2,13,95,20,Chemistry,Hard,Biology,Understand mathematical formulas
1022,16,Male,Q46,History,Hard,Who was the first President of the United States?,George Washington,George Washington,1,16,4,25,73,14,Algebra,Hard,Math,Focus on practice questions
1023,18,Female,Q47,Mathematics,Hard,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,29,2,23,80,9,Physics,Easy,Chemistry,Study major scientific concepts
1024,18,Female,Q41,General Knowledge,Hard,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,19,5,5,81,10,Science,Easy,Literature,Learn about historical events
1025,18,Male,Q31,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,6,1,23,88,18,History,Easy,History,Review fundamental principles
1026,15,Female,Q19,Geography,Easy,What is the capital of France?,Paris,Incorrect,0,9,3,13,95,12,Biology,Medium,Algebra,Study major scientific concepts
1027,18,Female,Q24,Geography,Medium,What is the capital of France?,Paris,Paris,1,11,5,25,83,8,Math,Easy,Physics,Focus on practice questions
1028,15,Male,Q97,History,Hard,Who was the first President of the United States?,George Washington,George Washington,1,7,2,24,74,8,Math,Hard,Algebra,Understand mathematical formulas
1029,17,Male,Q71,History,Medium,Who was the first President of the United States?,George Washington,George Washington,1,23,1,13,80,13,History,Easy,Biology,Focus on practice questions
1030,18,Female,Q8,Science,Hard,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,12,1,11,82,19,Literature,Hard,History,Learn about historical events
1031,15,Female,Q65,General Knowledge,Easy,Which is the largest planet in our solar system?,Jupiter,Incorrect,0,7,3,11,70,15,History,Easy,Math,Understand mathematical formulas
1032,17,Male,Q44,General Knowledge,Medium,Which is the largest planet in our solar system?,Jupiter,Incorrect,0,21,2,9,94,20,Literature,Medium,Physics,Study major scientific concepts
1033,18,Male,Q97,General Knowledge,Hard,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,6,4,24,71,19,Physics,Easy,Algebra,Review fundamental principles
1034,16,Female,Q9,Technology,Hard,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,20,3,17,85,8,Geography,Easy,Chemistry,Learn about historical events
1035,15,Male,Q77,Literature,Easy,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,28,5,8,81,19,Science,Easy,Math,Focus on practice questions
1036,18,Male,Q29,Geography,Hard,What is the capital of France?,Paris,Incorrect,0,27,2,16,75,20,History,Hard,Math,Learn about historical events
1037,18,Female,Q31,Literature,Easy,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,5,2,5,71,11,Algebra,Medium,Chemistry,Review fundamental principles
1038,15,Male,Q66,Science,Medium,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,23,3,9,81,15,Chemistry,Hard,History,Review fundamental principles
1039,18,Male,Q26,Geography,Easy,What is the capital of France?,Paris,Paris,1,8,2,21,92,14,Algebra,Easy,Physics,Understand mathematical formulas
1040,18,Male,Q62,Technology,Medium,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,7,1,22,70,17,Geography,Medium,Math,Focus on practice questions
1041,16,Female,Q60,General Knowledge,Easy,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,13,2,21,78,18,Biology,Easy,Math,Review fundamental principles
